County,County code,Date,Fuel type,Region,Count,County Latitude,County Longitude,Region Longitude,Region Latitude,Region+,County population,Per1000
Norrtälje,188,2013-01-01,Diesel,Stockholms län,901,59.8612,18.70573,59.5,18.0,Larger cities,56845,15.850118743952855
Norrtälje,188,2013-01-01,Electric hybrids,Stockholms län,25,59.8612,18.70573,59.5,18.0,Larger cities,56845,0.43979241797871405
Norrtälje,188,2013-01-01,Electricty,Stockholms län,0,59.8612,18.70573,59.5,18.0,Larger cities,56845,0.0
Norrtälje,188,2013-01-01,Ethanol,Stockholms län,14,59.8612,18.70573,59.5,18.0,Larger cities,56845,0.24628375406807987
Norrtälje,188,2013-01-01,Gas,Stockholms län,713,59.8612,18.70573,59.5,18.0,Larger cities,56845,12.542879760752925
Norrtälje,188,2013-01-01,NG,Stockholms län,16,59.8612,18.70573,59.5,18.0,Larger cities,56845,0.28146714750637697
Norrtälje,188,2013-01-01,Plug-in hybrids,Stockholms län,1,59.8612,18.70573,59.5,18.0,Larger cities,56845,0.01759169671914856
Norrtälje,188,2013-01-01,All,Stockholms län,1670,59.8612,18.70573,59.5,18.0,Larger cities,56845,29.3781335209781
Norrtälje,188,2014-01-01,Diesel,Stockholms län,975,59.8612,18.70573,59.5,18.0,Larger cities,57568,16.93649249583102
Norrtälje,188,2014-01-01,Electric hybrids,Stockholms län,27,59.8612,18.70573,59.5,18.0,Larger cities,57568,0.4690105614230128
Norrtälje,188,2014-01-01,Electricty,Stockholms län,4,59.8612,18.70573,59.5,18.0,Larger cities,57568,0.06948304613674264
Norrtälje,188,2014-01-01,Ethanol,Stockholms län,9,59.8612,18.70573,59.5,18.0,Larger cities,57568,0.15633685380767093
Norrtälje,188,2014-01-01,Gas,Stockholms län,920,59.8612,18.70573,59.5,18.0,Larger cities,57568,15.981100611450806
Norrtälje,188,2014-01-01,NG,Stockholms län,19,59.8612,18.70573,59.5,18.0,Larger cities,57568,0.3300444691495275
Norrtälje,188,2014-01-01,Plug-in hybrids,Stockholms län,5,59.8612,18.70573,59.5,18.0,Larger cities,57568,0.08685380767092829
