County,County code,Region,Region+,Date,County population
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2013,41449
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2014,41816
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2015,42661
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2016,43891
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2017,44605
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2018,45543
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2019,46786
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2020,47184
Upplands Väsby,114,Stockholms län,Larger cities,1/1/2021,47820
Vallentuna,115,Stockholms län,Larger cities,1/1/2013,31616
Vallentuna,115,Stockholms län,Larger cities,1/1/2014,31969
Vallentuna,115,Stockholms län,Larger cities,1/1/2015,32380
Vallentuna,115,Stockholms län,Larger cities,1/1/2016,32785
Vallentuna,115,Stockholms län,Larger cities,1/1/2017,33175
Vallentuna,115,Stockholms län,Larger cities,1/1/2018,33432
Vallentuna,115,Stockholms län,Larger cities,1/1/2019,34090
Vallentuna,115,Stockholms län,Larger cities,1/1/2020,34119
Vallentuna,115,Stockholms län,Larger cities,1/1/2021,34246
Österåker,117,Stockholms län,Larger cities,1/1/2013,40495
Österåker,117,Stockholms län,Larger cities,1/1/2014,41180
Österåker,117,Stockholms län,Larger cities,1/1/2015,42130
Österåker,117,Stockholms län,Larger cities,1/1/2016,43293
Österåker,117,Stockholms län,Larger cities,1/1/2017,44130
Österåker,117,Stockholms län,Larger cities,1/1/2018,44831
Österåker,117,Stockholms län,Larger cities,1/1/2019,45574
Österåker,117,Stockholms län,Larger cities,1/1/2020,46644
Österåker,117,Stockholms län,Larger cities,1/1/2021,48234
Värmdö,120,Stockholms län,Larger cities,1/1/2013,39784
Värmdö,120,Stockholms län,Larger cities,1/1/2014,40541
Värmdö,120,Stockholms län,Larger cities,1/1/2015,41107
Värmdö,120,Stockholms län,Larger cities,1/1/2016,42000
Värmdö,120,Stockholms län,Larger cities,1/1/2017,43444
Värmdö,120,Stockholms län,Larger cities,1/1/2018,44397
Värmdö,120,Stockholms län,Larger cities,1/1/2019,45000
Värmdö,120,Stockholms län,Larger cities,1/1/2020,45566
Värmdö,120,Stockholms län,Larger cities,1/1/2021,46232
Järfälla,123,Stockholms län,Larger cities,1/1/2013,69167
Järfälla,123,Stockholms län,Larger cities,1/1/2014,70701
Järfälla,123,Stockholms län,Larger cities,1/1/2015,72429
Järfälla,123,Stockholms län,Larger cities,1/1/2016,74412
Järfälla,123,Stockholms län,Larger cities,1/1/2017,76453
Järfälla,123,Stockholms län,Larger cities,1/1/2018,78480
Järfälla,123,Stockholms län,Larger cities,1/1/2019,79990
Järfälla,123,Stockholms län,Larger cities,1/1/2020,81274
Järfälla,123,Stockholms län,Larger cities,1/1/2021,83170
Ekerö,125,Stockholms län,Larger cities,1/1/2013,26355
Ekerö,125,Stockholms län,Larger cities,1/1/2014,26698
Ekerö,125,Stockholms län,Larger cities,1/1/2015,26984
Ekerö,125,Stockholms län,Larger cities,1/1/2016,27406
Ekerö,125,Stockholms län,Larger cities,1/1/2017,27753
Ekerö,125,Stockholms län,Larger cities,1/1/2018,28308
Ekerö,125,Stockholms län,Larger cities,1/1/2019,28690
Ekerö,125,Stockholms län,Larger cities,1/1/2020,28879
Ekerö,125,Stockholms län,Larger cities,1/1/2021,29096
Huddinge,126,Stockholms län,Larger cities,1/1/2013,102557
Huddinge,126,Stockholms län,Larger cities,1/1/2014,104185
Huddinge,126,Stockholms län,Larger cities,1/1/2015,105311
Huddinge,126,Stockholms län,Larger cities,1/1/2016,107538
Huddinge,126,Stockholms län,Larger cities,1/1/2017,110003
Huddinge,126,Stockholms län,Larger cities,1/1/2018,111722
Huddinge,126,Stockholms län,Larger cities,1/1/2019,112848
Huddinge,126,Stockholms län,Larger cities,1/1/2020,113234
Huddinge,126,Stockholms län,Larger cities,1/1/2021,113951
Botkyrka,127,Stockholms län,Larger cities,1/1/2013,87580
Botkyrka,127,Stockholms län,Larger cities,1/1/2014,88901
Botkyrka,127,Stockholms län,Larger cities,1/1/2015,89425
Botkyrka,127,Stockholms län,Larger cities,1/1/2016,90675
Botkyrka,127,Stockholms län,Larger cities,1/1/2017,91925
Botkyrka,127,Stockholms län,Larger cities,1/1/2018,93106
Botkyrka,127,Stockholms län,Larger cities,1/1/2019,94606
Botkyrka,127,Stockholms län,Larger cities,1/1/2020,94847
Botkyrka,127,Stockholms län,Larger cities,1/1/2021,95318
Salem,128,Stockholms län,Larger cities,1/1/2013,16001
Salem,128,Stockholms län,Larger cities,1/1/2014,16140
Salem,128,Stockholms län,Larger cities,1/1/2015,16426
Salem,128,Stockholms län,Larger cities,1/1/2016,16615
Salem,128,Stockholms län,Larger cities,1/1/2017,16665
Salem,128,Stockholms län,Larger cities,1/1/2018,16786
Salem,128,Stockholms län,Larger cities,1/1/2019,16750
Salem,128,Stockholms län,Larger cities,1/1/2020,16959
