County,County code,Date,Fuel type,Region,Count,County Latitude,County Longitude,Region Longitude,Region Latitude
Upplands Väsby,114,1/1/2013,Diesel,Stockholms län,846,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2013,Electric hybrids,Stockholms län,33,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2013,Electricty,Stockholms län,0,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2013,Ethanol,Stockholms län,8,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2013,Gas,Stockholms län,686,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2013,NG,Stockholms län,15,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2013,Plug-in hybrids,Stockholms län,8,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,Diesel,Stockholms län,978,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,Electric hybrids,Stockholms län,29,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,Electricty,Stockholms län,3,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,Ethanol,Stockholms län,1,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,Gas,Stockholms län,673,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,NG,Stockholms län,17,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2014,Plug-in hybrids,Stockholms län,54,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,Diesel,Stockholms län,852,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,Electric hybrids,Stockholms län,26,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,Electricty,Stockholms län,10,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,Ethanol,Stockholms län,0,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,Gas,Stockholms län,493,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,NG,Stockholms län,19,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2015,Plug-in hybrids,Stockholms län,25,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,Diesel,Stockholms län,835,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,Electric hybrids,Stockholms län,38,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,Electricty,Stockholms län,10,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,Ethanol,Stockholms län,0,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,Gas,Stockholms län,569,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,NG,Stockholms län,40,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2016,Plug-in hybrids,Stockholms län,27,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,Diesel,Stockholms län,940,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,Electric hybrids,Stockholms län,67,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,Electricty,Stockholms län,13,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,Ethanol,Stockholms län,0,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,Gas,Stockholms län,739,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,NG,Stockholms län,14,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2017,Plug-in hybrids,Stockholms län,34,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2018,Diesel,Stockholms län,766,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2018,Electric hybrids,Stockholms län,66,59.52382,17.91001,59.5,18.0
Upplands Väsby,114,1/1/2018,Electricty,Stockholms län,15,59.52382,17.91001,59.5,18.0
