Date,Fuel type,Count
1/1/2006,Diesel,3521
1/1/2006,Electric hybrids,216
1/1/2006,Electricity,2
1/1/2006,Ethanol,1646
1/1/2006,Gas,13617
1/1/2006,NG,168
1/1/2006,Others,3
1/1/2006,Plug-in hybrids,0
2/1/2006,Diesel,3444
2/1/2006,Electric hybrids,163
2/1/2006,Electricity,0
2/1/2006,Ethanol,1798
2/1/2006,Gas,14687
2/1/2006,NG,234
2/1/2006,Others,0
2/1/2006,Plug-in hybrids,0
3/1/2006,Diesel,4764
3/1/2006,Electric hybrids,214
3/1/2006,Electricity,0
3/1/2006,Ethanol,3165
3/1/2006,Gas,19609
3/1/2006,NG,254
3/1/2006,Others,1
3/1/2006,Plug-in hybrids,0
4/1/2006,Diesel,4598
4/1/2006,Electric hybrids,239
4/1/2006,Electricity,0
4/1/2006,Ethanol,2105
4/1/2006,Gas,21439
4/1/2006,NG,370
4/1/2006,Others,0
4/1/2006,Plug-in hybrids,0
5/1/2006,Diesel,5168
5/1/2006,Electric hybrids,260
5/1/2006,Electricity,0
5/1/2006,Ethanol,2481
5/1/2006,Gas,24117
5/1/2006,NG,530
5/1/2006,Others,0
5/1/2006,Plug-in hybrids,0
6/1/2006,Diesel,5340
6/1/2006,Electric hybrids,307
6/1/2006,Electricity,0
6/1/2006,Ethanol,2469
6/1/2006,Gas,23148
6/1/2006,NG,398
6/1/2006,Others,0
6/1/2006,Plug-in hybrids,0
7/1/2006,Diesel,4089
7/1/2006,Electric hybrids,224
7/1/2006,Electricity,0
7/1/2006,Ethanol,1686
7/1/2006,Gas,15593
7/1/2006,NG,198
7/1/2006,Others,1
7/1/2006,Plug-in hybrids,0
8/1/2006,Diesel,4619
8/1/2006,Electric hybrids,277
8/1/2006,Electricity,0
8/1/2006,Ethanol,2086
8/1/2006,Gas,17504
8/1/2006,NG,181
8/1/2006,Others,0
8/1/2006,Plug-in hybrids,0
9/1/2006,Diesel,5438
9/1/2006,Electric hybrids,293
9/1/2006,Electricity,0
9/1/2006,Ethanol,2061
9/1/2006,Gas,19129
9/1/2006,NG,319
9/1/2006,Others,2
9/1/2006,Plug-in hybrids,0
10/1/2006,Diesel,6176
10/1/2006,Electric hybrids,166
10/1/2006,Electricity,0
10/1/2006,Ethanol,1819
10/1/2006,Gas,18271
10/1/2006,NG,361
10/1/2006,Others,3
10/1/2006,Plug-in hybrids,0
11/1/2006,Diesel,7046
11/1/2006,Electric hybrids,256
11/1/2006,Electricity,0
11/1/2006,Ethanol,2465
11/1/2006,Gas,17054
11/1/2006,NG,348
11/1/2006,Others,0
11/1/2006,Plug-in hybrids,0
12/1/2006,Diesel,7000
12/1/2006,Electric hybrids,236
12/1/2006,Electricity,0
12/1/2006,Ethanol,2337
12/1/2006,Gas,15834
12/1/2006,NG,265
12/1/2006,Others,0
12/1/2006,Plug-in hybrids,0
1/1/2007,Diesel,6965
1/1/2007,Electric hybrids,287
