County,County code,Year,Fuel type,Region,Count
Upplands Väsby,114,1/1/2013,Diesel,Stockholms län,846
Upplands Väsby,114,1/1/2013,Electric hybrids,Stockholms län,33
Upplands Väsby,114,1/1/2013,Electricty,Stockholms län,0
Upplands Väsby,114,1/1/2013,Ethanol,Stockholms län,8
Upplands Väsby,114,1/1/2013,Gas,Stockholms län,686
Upplands Väsby,114,1/1/2013,NG,Stockholms län,15
Upplands Väsby,114,1/1/2013,Plug-in hybrids,Stockholms län,8
Upplands Väsby,114,1/1/2014,Diesel,Stockholms län,978
Upplands Väsby,114,1/1/2014,Electric hybrids,Stockholms län,29
Upplands Väsby,114,1/1/2014,Electricty,Stockholms län,3
Upplands Väsby,114,1/1/2014,Ethanol,Stockholms län,1
Upplands Väsby,114,1/1/2014,Gas,Stockholms län,673
Upplands Väsby,114,1/1/2014,NG,Stockholms län,17
Upplands Väsby,114,1/1/2014,Plug-in hybrids,Stockholms län,54
Upplands Väsby,114,1/1/2015,Diesel,Stockholms län,852
Upplands Väsby,114,1/1/2015,Electric hybrids,Stockholms län,26
Upplands Väsby,114,1/1/2015,Electricty,Stockholms län,10
Upplands Väsby,114,1/1/2015,Ethanol,Stockholms län,0
Upplands Väsby,114,1/1/2015,Gas,Stockholms län,493
Upplands Väsby,114,1/1/2015,NG,Stockholms län,19
Upplands Väsby,114,1/1/2015,Plug-in hybrids,Stockholms län,25
Upplands Väsby,114,1/1/2016,Diesel,Stockholms län,835
Upplands Väsby,114,1/1/2016,Electric hybrids,Stockholms län,38
Upplands Väsby,114,1/1/2016,Electricty,Stockholms län,10
Upplands Väsby,114,1/1/2016,Ethanol,Stockholms län,0
Upplands Väsby,114,1/1/2016,Gas,Stockholms län,569
Upplands Väsby,114,1/1/2016,NG,Stockholms län,40
Upplands Väsby,114,1/1/2016,Plug-in hybrids,Stockholms län,27
Upplands Väsby,114,1/1/2017,Diesel,Stockholms län,940
Upplands Väsby,114,1/1/2017,Electric hybrids,Stockholms län,67
Upplands Väsby,114,1/1/2017,Electricty,Stockholms län,13
Upplands Väsby,114,1/1/2017,Ethanol,Stockholms län,0
Upplands Väsby,114,1/1/2017,Gas,Stockholms län,739
Upplands Väsby,114,1/1/2017,NG,Stockholms län,14
Upplands Väsby,114,1/1/2017,Plug-in hybrids,Stockholms län,34
Upplands Väsby,114,1/1/2018,Diesel,Stockholms län,766
Upplands Väsby,114,1/1/2018,Electric hybrids,Stockholms län,66
Upplands Väsby,114,1/1/2018,Electricty,Stockholms län,15
Upplands Väsby,114,1/1/2018,Ethanol,Stockholms län,0
Upplands Väsby,114,1/1/2018,Gas,Stockholms län,795
Upplands Väsby,114,1/1/2018,NG,Stockholms län,11
Upplands Väsby,114,1/1/2018,Plug-in hybrids,Stockholms län,45
Upplands Väsby,114,1/1/2019,Diesel,Stockholms län,386
Upplands Väsby,114,1/1/2019,Electric hybrids,Stockholms län,195
Upplands Väsby,114,1/1/2019,Electricty,Stockholms län,64
Upplands Väsby,114,1/1/2019,Ethanol,Stockholms län,0
Upplands Väsby,114,1/1/2019,Gas,Stockholms län,750
Upplands Väsby,114,1/1/2019,NG,Stockholms län,6
Upplands Väsby,114,1/1/2019,Plug-in hybrids,Stockholms län,86
Upplands Väsby,114,1/1/2020,Diesel,Stockholms län,168
Upplands Väsby,114,1/1/2020,Electric hybrids,Stockholms län,97
Upplands Väsby,114,1/1/2020,Electricty,Stockholms län,88
Upplands Väsby,114,1/1/2020,Ethanol,Stockholms län,1
Upplands Väsby,114,1/1/2020,Gas,Stockholms län,435
Upplands Väsby,114,1/1/2020,NG,Stockholms län,4
Upplands Väsby,114,1/1/2020,Plug-in hybrids,Stockholms län,262
Upplands Väsby,114,1/1/2021,Diesel,Stockholms län,174
Upplands Väsby,114,1/1/2021,Electric hybrids,Stockholms län,119
Upplands Väsby,114,1/1/2021,Electricty,Stockholms län,224
Upplands Väsby,114,1/1/2021,Ethanol,Stockholms län,6
Upplands Väsby,114,1/1/2021,Gas,Stockholms län,329
Upplands Väsby,114,1/1/2021,NG,Stockholms län,3
Upplands Väsby,114,1/1/2021,Plug-in hybrids,Stockholms län,246
Vallentuna,115,1/1/2013,Diesel,Stockholms län,275
Vallentuna,115,1/1/2013,Electric hybrids,Stockholms län,18
Vallentuna,115,1/1/2013,Electricty,Stockholms län,0
Vallentuna,115,1/1/2013,Ethanol,Stockholms län,4
Vallentuna,115,1/1/2013,Gas,Stockholms län,302
Vallentuna,115,1/1/2013,NG,Stockholms län,1
Vallentuna,115,1/1/2013,Plug-in hybrids,Stockholms län,1
Vallentuna,115,1/1/2014,Diesel,Stockholms län,293
Vallentuna,115,1/1/2014,Electric hybrids,Stockholms län,18
Vallentuna,115,1/1/2014,Electricty,Stockholms län,3
Vallentuna,115,1/1/2014,Ethanol,Stockholms län,1
Vallentuna,115,1/1/2014,Gas,Stockholms län,356
Vallentuna,115,1/1/2014,NG,Stockholms län,9
Vallentuna,115,1/1/2014,Plug-in hybrids,Stockholms län,23
Vallentuna,115,1/1/2015,Diesel,Stockholms län,372
Vallentuna,115,1/1/2015,Electric hybrids,Stockholms län,20
Vallentuna,115,1/1/2015,Electricty,Stockholms län,2
Vallentuna,115,1/1/2015,Ethanol,Stockholms län,2
Vallentuna,115,1/1/2015,Gas,Stockholms län,406
Vallentuna,115,1/1/2015,NG,Stockholms län,4
Vallentuna,115,1/1/2015,Plug-in hybrids,Stockholms län,16
Vallentuna,115,1/1/2016,Diesel,Stockholms län,346
Vallentuna,115,1/1/2016,Electric hybrids,Stockholms län,45
Vallentuna,115,1/1/2016,Electricty,Stockholms län,8
Vallentuna,115,1/1/2016,Ethanol,Stockholms län,1
Vallentuna,115,1/1/2016,Gas,Stockholms län,458
Vallentuna,115,1/1/2016,NG,Stockholms län,9
Vallentuna,115,1/1/2016,Plug-in hybrids,Stockholms län,29
Vallentuna,115,1/1/2017,Diesel,Stockholms län,345
Vallentuna,115,1/1/2017,Electric hybrids,Stockholms län,51
Vallentuna,115,1/1/2017,Electricty,Stockholms län,27
Vallentuna,115,1/1/2017,Ethanol,Stockholms län,0
Vallentuna,115,1/1/2017,Gas,Stockholms län,463
Vallentuna,115,1/1/2017,NG,Stockholms län,2
Vallentuna,115,1/1/2017,Plug-in hybrids,Stockholms län,47
Vallentuna,115,1/1/2018,Diesel,Stockholms län,159
Vallentuna,115,1/1/2018,Electric hybrids,Stockholms län,53
Vallentuna,115,1/1/2018,Electricty,Stockholms län,24
Vallentuna,115,1/1/2018,Ethanol,Stockholms län,1
Vallentuna,115,1/1/2018,Gas,Stockholms län,434
Vallentuna,115,1/1/2018,NG,Stockholms län,0
Vallentuna,115,1/1/2018,Plug-in hybrids,Stockholms län,68
Vallentuna,115,1/1/2019,Diesel,Stockholms län,165
Vallentuna,115,1/1/2019,Electric hybrids,Stockholms län,76
Vallentuna,115,1/1/2019,Electricty,Stockholms län,72
Vallentuna,115,1/1/2019,Ethanol,Stockholms län,7
Vallentuna,115,1/1/2019,Gas,Stockholms län,403
Vallentuna,115,1/1/2019,NG,Stockholms län,6
Vallentuna,115,1/1/2019,Plug-in hybrids,Stockholms län,67
Vallentuna,115,1/1/2020,Diesel,Stockholms län,98
Vallentuna,115,1/1/2020,Electric hybrids,Stockholms län,52
Vallentuna,115,1/1/2020,Electricty,Stockholms län,113
Vallentuna,115,1/1/2020,Ethanol,Stockholms län,0
Vallentuna,115,1/1/2020,Gas,Stockholms län,326
Vallentuna,115,1/1/2020,NG,Stockholms län,2
Vallentuna,115,1/1/2020,Plug-in hybrids,Stockholms län,131
Vallentuna,115,1/1/2021,Diesel,Stockholms län,86
Vallentuna,115,1/1/2021,Electric hybrids,Stockholms län,70
Vallentuna,115,1/1/2021,Electricty,Stockholms län,232
Vallentuna,115,1/1/2021,Ethanol,Stockholms län,6
Vallentuna,115,1/1/2021,Gas,Stockholms län,209
Vallentuna,115,1/1/2021,NG,Stockholms län,2
Vallentuna,115,1/1/2021,Plug-in hybrids,Stockholms län,179
Österåker,117,1/1/2013,Diesel,Stockholms län,422
Österåker,117,1/1/2013,Electric hybrids,Stockholms län,50
Österåker,117,1/1/2013,Electricty,Stockholms län,2
Österåker,117,1/1/2013,Ethanol,Stockholms län,5
Österåker,117,1/1/2013,Gas,Stockholms län,499
Österåker,117,1/1/2013,NG,Stockholms län,5
Österåker,117,1/1/2013,Plug-in hybrids,Stockholms län,1
Österåker,117,1/1/2014,Diesel,Stockholms län,483
Österåker,117,1/1/2014,Electric hybrids,Stockholms län,76
Österåker,117,1/1/2014,Electricty,Stockholms län,5
Österåker,117,1/1/2014,Ethanol,Stockholms län,3
Österåker,117,1/1/2014,Gas,Stockholms län,531
Österåker,117,1/1/2014,NG,Stockholms län,3
Österåker,117,1/1/2014,Plug-in hybrids,Stockholms län,6
Österåker,117,1/1/2015,Diesel,Stockholms län,538
Österåker,117,1/1/2015,Electric hybrids,Stockholms län,83
Österåker,117,1/1/2015,Electricty,Stockholms län,19
Österåker,117,1/1/2015,Ethanol,Stockholms län,2
Österåker,117,1/1/2015,Gas,Stockholms län,624
Österåker,117,1/1/2015,NG,Stockholms län,9
Österåker,117,1/1/2015,Plug-in hybrids,Stockholms län,12
Österåker,117,1/1/2016,Diesel,Stockholms län,548
Österåker,117,1/1/2016,Electric hybrids,Stockholms län,109
Österåker,117,1/1/2016,Electricty,Stockholms län,18
Österåker,117,1/1/2016,Ethanol,Stockholms län,1
Österåker,117,1/1/2016,Gas,Stockholms län,690
Österåker,117,1/1/2016,NG,Stockholms län,3
Österåker,117,1/1/2016,Plug-in hybrids,Stockholms län,23
Österåker,117,1/1/2017,Diesel,Stockholms län,516
Österåker,117,1/1/2017,Electric hybrids,Stockholms län,165
Österåker,117,1/1/2017,Electricty,Stockholms län,26
Österåker,117,1/1/2017,Ethanol,Stockholms län,0
Österåker,117,1/1/2017,Gas,Stockholms län,674
Österåker,117,1/1/2017,NG,Stockholms län,4
Österåker,117,1/1/2017,Plug-in hybrids,Stockholms län,41
Österåker,117,1/1/2018,Diesel,Stockholms län,361
Österåker,117,1/1/2018,Electric hybrids,Stockholms län,177
Österåker,117,1/1/2018,Electricty,Stockholms län,31
Österåker,117,1/1/2018,Ethanol,Stockholms län,0
Österåker,117,1/1/2018,Gas,Stockholms län,831
Österåker,117,1/1/2018,NG,Stockholms län,2
Österåker,117,1/1/2018,Plug-in hybrids,Stockholms län,63
Österåker,117,1/1/2019,Diesel,Stockholms län,279
Österåker,117,1/1/2019,Electric hybrids,Stockholms län,217
Österåker,117,1/1/2019,Electricty,Stockholms län,104
Österåker,117,1/1/2019,Ethanol,Stockholms län,0
Österåker,117,1/1/2019,Gas,Stockholms län,865
Österåker,117,1/1/2019,NG,Stockholms län,1
Österåker,117,1/1/2019,Plug-in hybrids,Stockholms län,70
Österåker,117,1/1/2020,Diesel,Stockholms län,178
Österåker,117,1/1/2020,Electric hybrids,Stockholms län,196
Österåker,117,1/1/2020,Electricty,Stockholms län,144
Österåker,117,1/1/2020,Ethanol,Stockholms län,0
Österåker,117,1/1/2020,Gas,Stockholms län,580
Österåker,117,1/1/2020,NG,Stockholms län,2
Österåker,117,1/1/2020,Plug-in hybrids,Stockholms län,262
Österåker,117,1/1/2021,Diesel,Stockholms län,151
Österåker,117,1/1/2021,Electric hybrids,Stockholms län,196
Österåker,117,1/1/2021,Electricty,Stockholms län,361
Österåker,117,1/1/2021,Ethanol,Stockholms län,3
Österåker,117,1/1/2021,Gas,Stockholms län,509
Österåker,117,1/1/2021,NG,Stockholms län,0
Österåker,117,1/1/2021,Plug-in hybrids,Stockholms län,331
Värmdö,120,1/1/2013,Diesel,Stockholms län,342
Värmdö,120,1/1/2013,Electric hybrids,Stockholms län,28
Värmdö,120,1/1/2013,Electricty,Stockholms län,4
Värmdö,120,1/1/2013,Ethanol,Stockholms län,2
Värmdö,120,1/1/2013,Gas,Stockholms län,420
Värmdö,120,1/1/2013,NG,Stockholms län,4
Värmdö,120,1/1/2013,Plug-in hybrids,Stockholms län,3
Värmdö,120,1/1/2014,Diesel,Stockholms län,337
Värmdö,120,1/1/2014,Electric hybrids,Stockholms län,25
Värmdö,120,1/1/2014,Electricty,Stockholms län,9
Värmdö,120,1/1/2014,Ethanol,Stockholms län,0
Värmdö,120,1/1/2014,Gas,Stockholms län,409
Värmdö,120,1/1/2014,NG,Stockholms län,7
Värmdö,120,1/1/2014,Plug-in hybrids,Stockholms län,6
Värmdö,120,1/1/2015,Diesel,Stockholms län,439
Värmdö,120,1/1/2015,Electric hybrids,Stockholms län,27
Värmdö,120,1/1/2015,Electricty,Stockholms län,19
Värmdö,120,1/1/2015,Ethanol,Stockholms län,1
Värmdö,120,1/1/2015,Gas,Stockholms län,525
Värmdö,120,1/1/2015,NG,Stockholms län,3
Värmdö,120,1/1/2015,Plug-in hybrids,Stockholms län,5
Värmdö,120,1/1/2016,Diesel,Stockholms län,456
Värmdö,120,1/1/2016,Electric hybrids,Stockholms län,60
Värmdö,120,1/1/2016,Electricty,Stockholms län,13
Värmdö,120,1/1/2016,Ethanol,Stockholms län,0
Värmdö,120,1/1/2016,Gas,Stockholms län,614
Värmdö,120,1/1/2016,NG,Stockholms län,3
Värmdö,120,1/1/2016,Plug-in hybrids,Stockholms län,14
Värmdö,120,1/1/2017,Diesel,Stockholms län,395
Värmdö,120,1/1/2017,Electric hybrids,Stockholms län,79
Värmdö,120,1/1/2017,Electricty,Stockholms län,17
Värmdö,120,1/1/2017,Ethanol,Stockholms län,1
Värmdö,120,1/1/2017,Gas,Stockholms län,694
Värmdö,120,1/1/2017,NG,Stockholms län,2
Värmdö,120,1/1/2017,Plug-in hybrids,Stockholms län,17
Värmdö,120,1/1/2018,Diesel,Stockholms län,259
Värmdö,120,1/1/2018,Electric hybrids,Stockholms län,81
Värmdö,120,1/1/2018,Electricty,Stockholms län,26
Värmdö,120,1/1/2018,Ethanol,Stockholms län,0
Värmdö,120,1/1/2018,Gas,Stockholms län,780
Värmdö,120,1/1/2018,NG,Stockholms län,0
Värmdö,120,1/1/2018,Plug-in hybrids,Stockholms län,67
Värmdö,120,1/1/2019,Diesel,Stockholms län,246
Värmdö,120,1/1/2019,Electric hybrids,Stockholms län,144
Värmdö,120,1/1/2019,Electricty,Stockholms län,84
Värmdö,120,1/1/2019,Ethanol,Stockholms län,2
Värmdö,120,1/1/2019,Gas,Stockholms län,625
Värmdö,120,1/1/2019,NG,Stockholms län,1
Värmdö,120,1/1/2019,Plug-in hybrids,Stockholms län,72
Värmdö,120,1/1/2020,Diesel,Stockholms län,129
Värmdö,120,1/1/2020,Electric hybrids,Stockholms län,74
Värmdö,120,1/1/2020,Electricty,Stockholms län,145
Värmdö,120,1/1/2020,Ethanol,Stockholms län,0
Värmdö,120,1/1/2020,Gas,Stockholms län,437
Värmdö,120,1/1/2020,NG,Stockholms län,0
Värmdö,120,1/1/2020,Plug-in hybrids,Stockholms län,282
Värmdö,120,1/1/2021,Diesel,Stockholms län,105
Värmdö,120,1/1/2021,Electric hybrids,Stockholms län,99
Värmdö,120,1/1/2021,Electricty,Stockholms län,312
Värmdö,120,1/1/2021,Ethanol,Stockholms län,15
Värmdö,120,1/1/2021,Gas,Stockholms län,364
Värmdö,120,1/1/2021,NG,Stockholms län,0
Värmdö,120,1/1/2021,Plug-in hybrids,Stockholms län,358
Järfälla,123,1/1/2013,Diesel,Stockholms län,535
Järfälla,123,1/1/2013,Electric hybrids,Stockholms län,36
Järfälla,123,1/1/2013,Electricty,Stockholms län,1
Järfälla,123,1/1/2013,Ethanol,Stockholms län,13
Järfälla,123,1/1/2013,Gas,Stockholms län,674
Järfälla,123,1/1/2013,NG,Stockholms län,25
Järfälla,123,1/1/2013,Plug-in hybrids,Stockholms län,3
Järfälla,123,1/1/2014,Diesel,Stockholms län,662
Järfälla,123,1/1/2014,Electric hybrids,Stockholms län,51
Järfälla,123,1/1/2014,Electricty,Stockholms län,3
Järfälla,123,1/1/2014,Ethanol,Stockholms län,41
Järfälla,123,1/1/2014,Gas,Stockholms län,730
Järfälla,123,1/1/2014,NG,Stockholms län,53
Järfälla,123,1/1/2014,Plug-in hybrids,Stockholms län,10
Järfälla,123,1/1/2015,Diesel,Stockholms län,605
Järfälla,123,1/1/2015,Electric hybrids,Stockholms län,67
Järfälla,123,1/1/2015,Electricty,Stockholms län,12
Järfälla,123,1/1/2015,Ethanol,Stockholms län,1
Järfälla,123,1/1/2015,Gas,Stockholms län,780
Järfälla,123,1/1/2015,NG,Stockholms län,44
Järfälla,123,1/1/2015,Plug-in hybrids,Stockholms län,9
Järfälla,123,1/1/2016,Diesel,Stockholms län,761
Järfälla,123,1/1/2016,Electric hybrids,Stockholms län,86
Järfälla,123,1/1/2016,Electricty,Stockholms län,12
Järfälla,123,1/1/2016,Ethanol,Stockholms län,1
Järfälla,123,1/1/2016,Gas,Stockholms län,1061
Järfälla,123,1/1/2016,NG,Stockholms län,28
Järfälla,123,1/1/2016,Plug-in hybrids,Stockholms län,13
Järfälla,123,1/1/2017,Diesel,Stockholms län,544
Järfälla,123,1/1/2017,Electric hybrids,Stockholms län,118
Järfälla,123,1/1/2017,Electricty,Stockholms län,16
Järfälla,123,1/1/2017,Ethanol,Stockholms län,0
Järfälla,123,1/1/2017,Gas,Stockholms län,768
Järfälla,123,1/1/2017,NG,Stockholms län,38
Järfälla,123,1/1/2017,Plug-in hybrids,Stockholms län,24
Järfälla,123,1/1/2018,Diesel,Stockholms län,365
Järfälla,123,1/1/2018,Electric hybrids,Stockholms län,147
Järfälla,123,1/1/2018,Electricty,Stockholms län,27
Järfälla,123,1/1/2018,Ethanol,Stockholms län,0
